time,SMA
11/25/2015,78.3397
11/24/2015,78.1868
11/23/2015,78.0762
11/20/2015,77.9893
11/19/2015,77.907
11/18/2015,77.777
11/17/2015,77.5765
11/16/2015,77.3892
11/13/2015,77.243
11/12/2015,77.1842
11/11/2015,77.1312
11/10/2015,77.0692
11/9/2015,77.0095
11/6/2015,76.9497
11/5/2015,76.8527
11/4/2015,76.7523
11/3/2015,76.6108
11/2/2015,76.4758
10/30/2015,76.335
10/29/2015,76.2575
10/28/2015,76.1732
10/27/2015,76.088
10/26/2015,76.0375
10/23/2015,76.004
10/22/2015,76.0045
10/21/2015,76.0087
10/20/2015,76.0465
10/19/2015,76.0203
10/16/2015,76.0028
10/15/2015,75.9805
10/14/2015,75.9857
10/13/2015,76.0107
10/12/2015,76.054
10/9/2015,76.1092
10/8/2015,76.17
10/7/2015,76.2155
10/6/2015,76.2807
10/5/2015,76.3562
10/2/2015,76.4463
10/1/2015,76.5417
9/30/2015,76.6735
9/29/2015,76.8155
9/28/2015,76.9748
9/25/2015,77.1505
9/24/2015,77.3028
9/23/2015,77.4773
9/22/2015,77.6527
9/21/2015,77.838
9/18/2015,78.0137
9/17/2015,78.2137
9/16/2015,78.3905
9/15/2015,78.5717
9/14/2015,78.7775
9/11/2015,78.994
9/10/2015,79.1947
9/9/2015,79.3973
9/8/2015,79.5927
9/4/2015,79.768
9/3/2015,79.9785
9/2/2015,80.1688
9/1/2015,80.358
8/31/2015,80.5708
8/28/2015,80.7215
8/27/2015,80.874
8/26/2015,81.0423
8/25/2015,81.253
8/24/2015,81.5267
8/21/2015,81.8013
8/20/2015,82.0177
8/19/2015,82.1933
8/18/2015,82.3453
8/17/2015,82.489
8/14/2015,82.6297
8/13/2015,82.7758
8/12/2015,82.9148
8/11/2015,83.0492
8/10/2015,83.2135
8/7/2015,83.3505
8/6/2015,83.5127
8/5/2015,83.6615
8/4/2015,83.8217
8/3/2015,84.0187
7/31/2015,84.1777
7/30/2015,84.3273
7/29/2015,84.4207
7/28/2015,84.5202
7/27/2015,84.6263
7/24/2015,84.7615
7/23/2015,84.8937
7/22/2015,85.0047
7/21/2015,85.0917
7/20/2015,85.1802
7/17/2015,85.2765
7/16/2015,85.3573
7/15/2015,85.4235
7/14/2015,85.4982
7/13/2015,85.5618
7/10/2015,85.6503
7/9/2015,85.748
7/8/2015,85.8318
7/7/2015,85.888
7/6/2015,85.9328
7/2/2015,85.9682
7/1/2015,85.9835
6/30/2015,86.0398
6/29/2015,86.072
6/26/2015,86.0967
6/25/2015,86.1067
6/24/2015,86.1245
6/23/2015,86.1403
6/22/2015,86.1155
6/19/2015,86.1013
6/18/2015,86.0955
6/17/2015,86.0795
6/16/2015,86.0912
6/15/2015,86.0888
6/12/2015,86.1003
6/11/2015,86.1345
6/10/2015,86.1177
6/9/2015,86.1102
6/8/2015,86.0983
6/5/2015,86.0878
6/4/2015,86.0835
6/3/2015,86.0842
6/2/2015,86.0877
6/1/2015,86.0958
5/29/2015,86.1227
5/28/2015,86.1557
5/27/2015,86.1975
5/26/2015,86.2463
5/22/2015,86.2995
5/21/2015,86.335
5/20/2015,86.3748
5/19/2015,86.413
5/18/2015,86.4467
5/15/2015,86.4978
5/14/2015,86.5327
5/13/2015,86.6
5/12/2015,86.7082
5/11/2015,86.814
5/8/2015,86.9072
5/7/2015,86.934
5/6/2015,86.9908
5/5/2015,87.047
5/4/2015,87.0952
5/1/2015,87.1493
4/30/2015,87.1928
4/29/2015,87.2742
4/28/2015,87.3027
4/27/2015,87.2963
4/24/2015,87.3058
4/23/2015,87.3222
4/22/2015,87.379
4/21/2015,87.4507
4/20/2015,87.5175
4/17/2015,87.6113
4/16/2015,87.6937
4/15/2015,87.7497
4/14/2015,87.8003
4/13/2015,87.8392
4/10/2015,87.9125
4/9/2015,87.9865
4/8/2015,88.0812
4/7/2015,88.2152
4/6/2015,88.3232
4/2/2015,88.4163
4/1/2015,88.5082
3/31/2015,88.6053
3/30/2015,88.7358
3/27/2015,88.8495
3/26/2015,89.0068
3/25/2015,89.1527
3/24/2015,89.2918
3/23/2015,89.4462
3/20/2015,89.5988
3/19/2015,89.7453
3/18/2015,89.8992
3/17/2015,89.984
3/16/2015,90.0663
3/13/2015,90.0938
3/12/2015,90.1443
3/11/2015,90.184
3/10/2015,90.2703
3/9/2015,90.3438
3/6/2015,90.4475
3/5/2015,90.5487
3/4/2015,90.6667
3/3/2015,90.7865
3/2/2015,90.9087
2/27/2015,91.0112
2/26/2015,91.0747
2/25/2015,91.1062
2/24/2015,91.1875
2/23/2015,91.2768
2/20/2015,91.3887
2/19/2015,91.5035
2/18/2015,91.6098
2/17/2015,91.6865
2/13/2015,91.7168
2/12/2015,91.7458
2/11/2015,91.7912
2/10/2015,91.8588
2/9/2015,91.9317
2/6/2015,92.0125
2/5/2015,92.0922
2/4/2015,92.1627
2/3/2015,92.2427
2/2/2015,92.2897
1/30/2015,92.372
1/29/2015,92.5027
1/28/2015,92.6548
1/27/2015,92.7632
1/26/2015,92.8238
1/23/2015,92.8795
1/22/2015,92.9265
1/21/2015,92.9535
1/20/2015,92.9908
1/16/2015,93.0248
1/15/2015,93.067
1/14/2015,93.1138
1/13/2015,93.1383
1/12/2015,93.1483
1/9/2015,93.1465
1/8/2015,93.1207
1/7/2015,93.0975
1/6/2015,93.1122
1/5/2015,93.1457
1/2/2015,93.2177
12/31/2014,93.2267
12/30/2014,93.2612
12/29/2014,93.2762
12/26/2014,93.28
12/24/2014,93.2742
12/23/2014,93.2787
12/22/2014,93.276
12/19/2014,93.311
12/18/2014,93.3212
12/17/2014,93.3988
12/16/2014,93.5157
12/15/2014,93.6845
12/12/2014,93.8548
12/11/2014,94.0217
12/10/2014,94.153
12/9/2014,94.299
12/8/2014,94.3808
12/5/2014,94.4488
12/4/2014,94.5023
12/3/2014,94.543
12/2/2014,94.5837
12/1/2014,94.6433
11/28/2014,94.7585
11/26/2014,94.8888
11/25/2014,94.966
11/24/2014,95.0278
11/21/2014,95.0902
11/20/2014,95.1362
11/19/2014,95.198
11/18/2014,95.2652
11/17/2014,95.3298
11/14/2014,95.3863
11/13/2014,95.4562
11/12/2014,95.5402
11/11/2014,95.6087
11/10/2014,95.6605
11/7/2014,95.7063
11/6/2014,95.748
11/5/2014,95.7952
11/4/2014,95.8522
11/3/2014,95.9223
10/31/2014,95.997
10/30/2014,96.023
10/29/2014,96.0985
10/28/2014,96.1587
10/27/2014,96.2425
10/24/2014,96.3273
10/23/2014,96.4015
10/22/2014,96.5538
10/21/2014,96.7275
10/20/2014,96.8875
10/17/2014,97.0777
10/16/2014,97.2955
10/15/2014,97.523
10/14/2014,97.745
10/13/2014,97.9538
10/10/2014,98.152
10/9/2014,98.3305
10/8/2014,98.5297
10/7/2014,98.6593
10/6/2014,98.8145
10/3/2014,98.9348
10/2/2014,99.079
10/1/2014,99.2498
9/30/2014,99.416
9/29/2014,99.5593
9/26/2014,99.6953
9/25/2014,99.7977
9/24/2014,99.9162
9/23/2014,99.9972
9/22/2014,100.0835
9/19/2014,100.175
9/18/2014,100.2587
9/17/2014,100.3607
9/16/2014,100.4823
9/15/2014,100.589
